,TIC ID,version,HIP,TYC,UCAC,TWOMASS,SDSS,ALLWISE,GAIA,APASS,KIC,objType,typeSrc,ra,dec,POSflag,pmRA,e_pmRA,pmDEC,e_pmDEC,PMflag,plx,e_plx,PARflag,gallong,gallat,eclong,eclat,Bmag,e_Bmag,Vmag,e_Vmag,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,TWOMflag,prox,w1mag,e_w1mag,w2mag,e_w2mag,w3mag,e_w3mag,w4mag,e_w4mag,GAIAmag,e_GAIAmag,Tmag,e_Tmag,TESSflag,SPFlag,Teff,e_Teff,logg,e_logg,MH,e_MH,rad,e_rad,mass,e_mass,rho,e_rho,lumclass,lum,e_lum,d,e_d,ebv,e_ebv,numcont,contratio,disposition,duplicate_id,priority,eneg_EBV,epos_EBV,EBVflag,eneg_Mass,epos_Mass,eneg_Rad,epos_Rad,eneg_rho,epos_rho,eneg_logg,epos_logg,eneg_lum,epos_lum,eneg_dist,epos_dist,distflag,eneg_Teff,epos_Teff,TeffFlag,gaiabp,e_gaiabp,gaiarp,e_gaiarp,gaiaqflag,starchareFlag,VmagFlag,BmagFlag,splists,e_RA,e_Dec,RA_orig,Dec_orig,e_RA_orig,e_Dec_orig,raddflag,wdflag,objID
0,231663901,20190415,,,171-208118,21145687-5552184,,J211456.88-555218.5,6462994429708755072,29655529,,STAR,tmgaia2,318.736915161395,-55.8717944482812,tmgaia2,12.6409,0.0443802,-16.0111,0.0413277,gaia2,2.63604,0.0310759,gaia2,340.697786476389,-42.0737909015092,302.236289522646,-37.7554028753823,13.642,0.011,13.043,0.069,,,,,,,,,,,11.753,0.023,11.465,0.025,11.401,0.026,AAA-222-111-000-0-0,,11.351,0.023,11.372,0.021,10.941,0.092,9.243,,12.8519,0.000258,12.4069,0.006,rered,gaia2,5824.0,135.304,4.55972,0.0757679,,,0.890774,0.0438467,1.05,0.129454,1.48555,0.316251,DWARF,0.8224618,0.034676,375.31,4.411,0.0333598,0.0103371,90.0,0.0844493359,,,0.0005656118,0.0109111,0.0097631,schlegel,0.138727,0.120182,0.0390146,0.0486789,0.287484,0.345018,0.0745254,0.0770105,0.0270124,0.0423396,4.36,4.462,bj2018,168.807,101.801,dered,13.1995,0.001278,12.3505,0.000648,1,,ucac4,apassdr9,,0.778921855309125,0.640920518058228,318.73701216956,-55.8718633850005,0.0215140685608863,0.0209094911847357,1,0,1714181809
1,149603524,20190415,,8900-00874-1,131-006781,05483359-6359183,,J054833.56-635918.1,4756649415309914240,29848754,,STAR,tmgaia2,87.1399740872908,-63.988440787086,tmgaia2,-15.6405,0.0371897,26.0463,0.0365854,gaia2,5.66486,0.0189104,gaia2,273.415812449388,-31.0335697980936,63.7531796047894,-87.1638479174296,10.734,0.078,10.213,0.005,,,,,,,,,,,9.272,0.024,9.008,0.024,8.944,0.021,AAA-222-111-000-0-0,,8.896,0.023,8.917,0.02,8.87,0.022,9.165,0.307,10.0721,0.000305,9.7109,0.006,rered,spect,6391.0,115.876,4.37665,0.0797224,0.24,0.05,1.21427,0.0542211,1.28,0.190812,0.714926,0.150172,DWARF,2.21616721,0.1061619,175.631,0.588,0.0202575,0.01075925,971.0,0.0163922813,,,0.00709071476,0.0109007,0.0106178,schlegel,0.160421,0.221203,0.0500111,0.0584312,0.129424,0.170919,0.0597669,0.0996779,0.0974178,0.114906,0.586,0.59,bj2018,102.407,129.345,spect,10.355,0.00104,9.67009,0.001594,1,,tycho2v3,tycho2b3,,0.679915272702027,0.567409162263974,87.1398205343019,-63.9883286433749,0.0177794575227992,0.019508362038221,1,0,554189526
2,336732616,20190415,,6926-00454-1,328-202354,20494978-2425436,,J204949.78-242543.4,6805886373600546176,12375697,,STAR,tmgaia2,312.457438595966,-24.4287610609148,tmgaia2,10.4255,0.070044,15.6199,0.0510156,gaia2,2.40421,0.0454792,gaia2,21.2968606974153,-36.0718820310395,308.207997713277,-6.44425872753474,12.45,0.357,12.433,0.034,,,,,,,,,,,10.98,0.021,10.719,0.024,10.694,0.021,AAA-222-111-000-0-0,,10.66,0.023,10.704,0.021,10.638,0.114,8.679,,11.8914,0.000316,11.5232,0.0081,rered,gaia2,6371.0,127.975,4.33006,0.0885499,,,1.27616,0.0578543,1.27,0.196969,0.611063,0.146003,DWARF,2.41733646,0.1290875,411.211,7.752,0.0446394,0.008033545,112.0,0.02309434,,,0.000414968876,0.00929557,0.00677152,panstarrs,0.180788,0.213151,0.0618613,0.0538472,0.107101,0.184904,0.0674357,0.109664,0.112636,0.145539,7.608,7.896,bj2018,182.166,73.7836,dered,12.165,0.001219,11.4652,0.000875,1,,tycho2v3,tycho2b3,,1.11149520472084,0.791111902381392,312.457487897168,-24.428693808575,0.038510066942537,0.0241960290598419,1,0,1710045846
3,231670397,20190415,,8805-00131-1,160-218801,21194790-5808559,,J211947.92-580856.0,6453566701615683456,29658035,,STAR,tmgaia2,319.949610769276,-58.1488869526779,tmgaia2,10.5524,0.0445329,-10.6584,0.0429264,gaia2,3.12923,0.0293421,gaia2,337.503135077981,-42.1103254948997,301.882378327253,-40.1101654151515,10.984,0.085,10.468,0.006,,,,,,,,,,,9.352,0.024,9.073,0.022,9.028,0.021,AAA-222-111-000-0-0,,8.973,0.023,9.008,0.019,8.928,0.028,8.536,,10.2607,0.000365,9.8638,0.006,rered,gaia2,6124.0,133.674,3.81034,0.0870651,,,2.21867,0.102573,1.16,0.166129,0.106213,0.0251538,DWARF,6.237656,0.2805145,316.678,2.9655,0.0302074,0.01011764,81.0,0.004832061,,,0.000772511761,0.0109448,0.00929048,schlegel,0.125401,0.206857,0.120921,0.0842246,0.0170708,0.0332367,0.0680412,0.106089,0.306056,0.254973,2.938,2.993,bj2018,155.424,111.924,dered,10.5719,0.000748,9.8178,0.000666,1,,tycho2v3,tycho2b3,,0.790080203670957,0.665721638786639,319.949696865087,-58.1489328430405,0.0217349426117023,0.0219644103979156,1,0,1714841005
4,144065872,20190415,,8442-00960-1,210-188722,22294972-4800111,,J222949.83-480011.1,6518399301667782016,24587000,,STAR,tmgaia2,337.457232403397,-48.0030692351396,tmgaia2,91.9757,0.0516441,-6.86129,0.0686995,gaia2,7.24182,0.0414511,gaia2,346.133879623908,-55.5134814667069,319.330474674465,-35.4379359768234,10.78,0.06,10.092,0.004,,,,,,,,,,,8.936,0.029,8.628,0.024,8.564,0.025,AAA-112-111-000-0-0,,8.513,0.023,8.569,0.02,8.517,0.025,8.754,0.403,9.93697,0.000483,9.4995,0.006,rered,gaia2,5758.0,131.861,4.2653,0.0759387,,,1.23824,0.0596985,1.03,0.127209,0.542529,0.114177,DWARF,1.51841652,0.0537981,137.544,0.7905,0.00633788,0.0103992,55.0,0.003544509,,,0.00220979471,0.0105547,0.0102437,schlegel,0.127229,0.127189,0.053693,0.065704,0.0984991,0.129854,0.0721071,0.0797704,0.0565071,0.0510891,0.786,0.795,bj2018,120.202,143.521,dered,10.2911,0.001275,9.45683,0.001433,1,,tycho2v3,tycho2b3,,0.876636722616783,1.06537281048645,337.457824261021,-48.0030987783252,0.026072616153161,0.0336185653878026,1,0,1721822954
5,38846515,20190415,,8884-00719-1,130-004345,04355033-6401373,,J043550.34-640137.4,4675352109658261376,29814627,,STAR,tmgaia2,68.9597092399964,-64.0270368810381,tmgaia2,10.8454,0.0354002,-0.49937,0.0519677,gaia2,2.71534,0.020395,gaia2,275.107124300275,-38.8526337075915,6.32110961010616,-80.8978403729629,11.066,0.114,10.798,0.009,,,,,,,,,,,9.928,0.027,9.715,0.022,9.669,0.024,AAA-222-111-000-0-0,,9.618,0.023,9.637,0.02,9.599,0.03,9.31,0.449,10.6151,0.000295,10.3157,0.006,rered,gaia2,6733.0,131.587,4.09825,0.0922916,,,1.77457,0.0795,1.44,0.243534,0.257683,0.0618424,DWARF,5.8306,0.2928215,364.411,2.729,0.0236859,0.00988313,87.0,0.06877991,,,0.0029050787,0.00704616,0.0127201,schlegel,0.211758,0.275309,0.078,0.081,0.0569499,0.0667349,0.0936834,0.0908998,0.317666,0.267977,2.709,2.749,bj2018,138.36,124.813,dered,10.8401,0.00077,10.2708,0.000525,1,,tycho2v3,tycho2b3,,0.647365243116614,0.805787904456122,68.959815863573,-64.0270390311425,0.018023243172421,0.0215625628663626,1,0,527093605
6,92352620,20190415,,7466-01400-1,280-221528,20550794-3408079,,J205507.96-340808.4,6780546169633475456,,,STAR,tmgaia2,313.783102119552,-34.1355576898925,tmgaia2,26.3761,0.0777691,-44.947,0.0593998,gaia2,4.70676,0.0552434,gaia2,9.65472669257593,-39.3784187221446,306.588820644278,-16.089861512176,10.742,0.088,10.051,0.006,,,,,,,,,,,9.159,0.027,8.916,0.022,8.874,0.024,AAA-222-111-dd0-0-0,,8.801,0.022,8.837,0.02,8.77,0.028,8.872,,10.0285,0.000365,9.6433,0.006,rered,spect,6072.6,105.855,4.0288,0.0762449,0.22,0.1,1.71036,0.074613,1.14,0.150731,0.227845,0.0465823,DWARF,3.58402228,0.1611375,211.211,2.4835,0.0462662,0.01039541,118.0,0.6378948,,,0.0009550342,0.0126384,0.00815242,schlegel,0.110124,0.191338,0.0676206,0.0816055,0.0399073,0.0532573,0.0735835,0.0789063,0.192365,0.12991,2.454,2.513,bj2018,86.4292,125.281,spect,10.3313,0.001111,9.59915,0.000832,1,,tycho2v3,tycho2b3,,1.26153893598819,0.921182947219917,313.783239321539,-34.1357512117759,0.0383315256962121,0.029920571170378,1,0,1711161638
7,289793076,20190415,,,320-227957,21075075-2605479,,J210750.75-260548.1,6803000980210856704,13840791,,STAR,tmgaia2,316.961463152312,-26.0966760700183,tmgaia2,3.47937,0.0628387,-10.313,0.0376082,gaia2,2.34291,0.0464812,gaia2,20.6491579369952,-40.4435610983319,311.676615315979,-9.19448416175423,14.682,0.017,13.911,0.16,,,,,,,,,,,12.439,0.021,12.052,0.025,11.983,0.028,AAA-222-111-000-0-0,,11.944,0.024,11.985,0.024,11.487,0.221,8.864,,13.6799,0.0003,13.163,0.0103,rered,gaia2,5445.0,122.0,4.59896,,,,0.809868,,0.95,,1.78847,,DWARF,0.5194156,,421.855,8.339,0.0488498,0.01322575,,,,,,0.0135196,0.0129319,panstarrs,,,,,,,,,,,8.177,8.501,bj2018,,,dered,14.1021,0.001637,13.1072,0.001143,1,,ucac4,apassdr9,,1.00034860150976,0.583293454729096,316.961479833532,-26.096720473214,0.0326622695961887,0.0206700366568204,1,0,1713172716
8,29344935,20190415,,,322-217284,20525171-2541144,,J205251.71-254114.4,6805149288493408640,13836383,,STAR,tmgaia2,313.215470373149,-25.6873330348218,tmgaia2,1.05306,0.0522104,-9.88134,0.0294318,gaia2,1.92119,0.0344072,gaia2,20.0314201464295,-37.0832694432644,308.528104312719,-7.84233914019296,14.836,0.016,14.052,0.069,,,,,,,,,,,12.518,0.026,12.129,0.023,12.037,0.019,AAA-222-111-000-0-0,,11.928,0.023,12.032,0.022,11.658,0.252,8.9,,13.7712,0.000315,13.2366,0.0069,rered,gaia2,5361.0,122.0,4.4198,,,,0.984866,,0.93,,0.973535,,DWARF,0.7218256,,513.011,9.1275,0.0535468,0.00532883,,,,,,0.00592684,0.00473082,panstarrs,,,,,,,,,,,8.968,9.287,bj2018,,,dered,14.2158,0.001286,13.1842,0.001054,1,,ucac4,apassdr9,,0.830441867218489,0.456416800153759,313.215475404379,-25.6873755794804,0.0262022660191505,0.0142945252522325,1,0,1710588429
9,281459670,20190415,,,151-000336,00222848-5956331,,J002228.45-595633.2,4906145613282734208,27133767,,STAR,tmgaia2,5.61871679195764,-59.9425681624254,tmgaia2,-22.3092,0.0363089,-4.89299,0.0339061,gaia2,2.89407,0.0246893,gaia2,309.554391826262,-56.8117270030021,329.017968665643,-54.4500766964881,12.795,0.011,12.283,0.057,,,,,,,,,,,11.129,0.024,10.826,0.024,10.793,0.019,AAA-222-111-000-0-0,,10.719,0.023,10.757,0.021,10.769,0.078,8.774,,12.0815,0.000203,11.6714,0.006,rered,spect,5750.4,133.487,4.32419,0.0802426,-0.1,0.1,1.15706,0.0633669,1.03,0.12909,0.664921,0.147733,DWARF,1.3188585,0.0509963,342.14,2.912,0.0110207,0.010326365,47.0,2.93423557,,,0.000552396,0.00899113,0.0116616,schlegel,0.118141,0.140039,0.0643141,0.0624196,0.128482,0.166984,0.0929096,0.0675755,0.0469329,0.0550597,2.888,2.936,bj2018,149.32,117.654,spect,12.3983,0.001211,11.6185,0.000743,1,,ucac4,apassdr9,,0.649975856505293,0.525851433401954,5.61852501781101,-59.942589229605,0.0201410708846633,0.0179626272072649,1,0,509574996
10,355703913,20190415,,,138-000046,00030587-6228096,,J000305.86-622809.6,4904523077718046720,29725147,,STAR,tmgaia2,0.774459635642891,-62.4693378500782,tmgaia2,2.89427,0.0239757,4.91111,0.0246522,gaia2,1.93638,0.0149344,gaia2,312.354737192315,-53.765657697392,323.101046305639,-54.6937908407381,14.568,0.045,13.857,0.137,,,,,,,,,,,12.513,0.024,12.139,0.022,12.095,0.019,AAA-222-111-000-0-0,,12.046,0.023,12.098,0.022,12.596,0.433,8.798,,13.679,0.000279,13.183,0.006,rered,spect,5435.56,86.8012,4.46889,,0.245387,0.0875268,0.940697,,0.95,,1.14123,,DWARF,0.695938647,,508.842,3.896,0.015262,,,,,,,,,schlegel,,,,,,,,,,,,,bj2018,,,spect,14.0824,0.001367,13.129,0.001095,1,,ucac4,apassdr9,,0.434822847408842,0.382293026552723,0.77448659543072,-62.4693167050237,0.0132343213534486,0.0118572276705273,1,0,508424694
