,TIC ID,TFOPWG Disposition
0,231663901,KP
1,149603524,KP
2,336732616,KP
3,231670397,KP
4,144065872,KP
5,38846515,KP
6,92352620,KP
7,289793076,KP
8,29344935,KP
9,281459670,KP
10,355703913,KP
11,388104525,KP
12,97409519,KP
13,25155310,KP
14,281541555,KP
15,238176110,KP
16,322307342,KP
17,266980320,CP
18,278683844,
19,278683844,
20,394137592,CP
21,207081058,FP
22,231702397,
23,290131778,CP
24,29831208,FP
25,52368076,CP
26,52368076,CP
27,52368076,
28,70440470,KP
29,234523599,CP
30,391949880,
31,201248411,
32,263003176,
33,235037761,FP
34,89020549,
35,219338557,
36,234994474,
37,267263253,CP
38,410153553,CP
39,176957796,FP
40,277683130,FP
41,62483237,
42,140068425,
43,403224672,CP
44,425934411,
45,25375553,KP
46,261136679,CP
47,265612438,
48,355636844,
49,220435095,
50,393940766,
51,260985861,
52,271893367,
53,382302241,PC
54,403287048,FP
55,231081369,FP
56,389525208,FP
57,129637892,
58,220518305,FP
59,140691463,
60,403136413,
61,394657039,
62,253917293,FP
63,348770361,
64,99493790,FP
65,179317684,
66,79395355,FP
67,350743714,FP
68,147203645,
69,149990841,
70,369457671,
71,183120439,
72,394698182,
73,309257814,
74,309257814,
75,29857954,CP
76,270341214,
77,425997655,CP
78,425997655,CP
79,425997655,
80,425997655,
81,307210830,CP
82,307210830,CP
83,307210830,CP
84,272086159,
85,262530407,
86,251848941,
87,251848941,
88,251848941,
89,207141131,
90,51912829,FP
91,76923707,PC
92,76989773,FP
93,183979262,
94,300871545,FP
95,100100827,KP
96,279741379,CP
97,260304296,FP
98,280830734,FP
99,278866211,FP
100,166739520,KP
101,183532609,KP
102,183537452,KP
103,183985250,PC
104,211438925,KP
105,230982885,KP
106,234519192,
107,441462736,CP
108,12421862,
109,309792357,
110,410214986,CP
111,350618622,
112,355509914,
113,259962054,
114,281781375,
115,281575427,
116,55650590,
117,260271203,FP
118,314865962,
119,52204645,
120,141608198,
121,300293197,FP
122,206609630,
123,234345288,
124,167415965,
125,231912935,
126,55652896,CP
127,55652896,CP
